date,description,categorie,montant
2026-07-02,Supermarché,Alimentation,68.40
2026-07-03,Netflix,Abonnements,19.99
2026-07-05,SNCF,Transport,74.00
2026-07-08,Restaurant,Restaurants,42.50
2026-07-10,Loyer,Logement,950.00
2026-07-11,Carrefour,Alimentation,83.20
2026-07-14,Uber,Transport,18.60
2026-07-17,Salaire,Revenus,2400.00
2026-07-19,Amazon,Achats,59.90
2026-07-21,Electricité,Logement,76.30
2026-07-24,Restaurant,Restaurants,37.00
2026-07-27,Spotify,Abonnements,11.12
2026-07-29,Pharmacie,Santé,23.80
2026-07-31,Cinéma,Loisirs,14.50
